id,code,name,category_code,price,image,tax,cost,tax_method,quantity,barcode_symbology,type,details,alert_quantity
1,250076000000,BL05,0,25,,0,0,1,1,ean13,standard,2 BLUSA ESTAMPA 8,20
2,360126000000,BL14,0,80,,0,0,1,0,ean13,standard,1 VESTIDO LISO 7,20
3,226066000000,BL20,0,30,,0,0,1,48,ean13,standard,2 BLUSA LISA OMBRO ALTERNADO 8,20
4,370108000000,BS01,0,50,,0,0,1,9,ean13,standard,2 CALÇA 7,20
5,370108000000,BS02,0,50,,0,0,1,3,ean13,standard,2 CALÇA 7,20
6,370108000000,BS05,0,50,,0,0,1,5,ean13,standard,1 CALÇA 7,20
7,350118000000,BS06,0,50,,0,0,1,24,ean13,standard,1 CALÇA 7,20
8,370118000000,BS07,0,50,,0,0,1,3,ean13,standard,1 CALÇA LISA 7,20
9,351068000000,BS20,0,70,,0,0,1,4,ean13,standard,2 VESTIDO LISO ALÇA FINA 8,20
10,462068000000,BS21,0,85,,0,0,1,5,ean13,standard,2 MACACÃO FLARE 8,20
11,170068000000,BS22,0,35,,0,0,1,9,ean13,standard,2 BLUSA LISA MANGA CURTA 8,20
12,212068000000,BS23,0,40,,0,0,1,23,ean13,standard,2 BLUSA LISA CORTE V 8,20
13,172068000000,BS24,0,30,,0,0,1,75,ean13,standard,2 BLUSA LISA MANGA CURTA CORTE V 8,20
14,445068000000,BS25,0,85,,0,0,1,32,ean13,standard,2 MACACÃO LISO MANGA CURTA 8,20
15,200068000000,BS26,0,35,,0,0,1,37,ean13,standard,2 BLUSA ALCINHA CRUZADA 8,20
16,206068000000,BS27,0,25,,0,0,1,42,ean13,standard,2 BLUSA LISA ALÇA DUPLA 8,20
17,185068000000,BS28,0,30,,0,0,1,54,ean13,standard,2 BLUSA LISA OMBRO VAZADO 8,20
18,330068000000,BS29,0,65,,0,0,1,10,ean13,standard,2 MACAQUINHO OMBRO ALTERNADO 8,20
19,245068000000,BS36,0,50,,0,0,1,1,ean13,standard,2 SHORTS LISO 7,20
20,242068000000,BS37,0,55,,0,0,1,3,ean13,standard,2 SHORTS LISO 8,20
21,330066000000,BY01,0,45,,0,0,1,26,ean13,standard,VESTIDO S/M GOLA ALTA,20
22,260086000000,BY07,0,35,,0,0,1,43,ean13,standard,2 SAIA 8,20
23,330086000000,BY09,0,45,,0,0,1,8,ean13,standard,2 SAIA 8,20
24,330086000000,BY10,0,40,,0,0,1,25,ean13,standard,2 SAIA 8,20
