Code,Name,Purchase Price,Tax,Retail Price,Category Code
PR-001,Product 1,50,4,62
YR16,2 BLUSA LISA ALCINHA 8,50,0,1,50
LY38,2 CONJUNTO LISO BLUSA E CALÇA 7,50,0,1,50
LY37C,2 CONJUNTO LISO BLUSA E CALÇA 7,50,0,1,50
ML260,2 CONJUNTO ESTAMPADO 7,50,0,1,50
LY37,2 CONJUNTO LISO BLUSA E CALÇA 7,50,0,1,50
YH33,1 CALÇA C/ DETALHE NA FRENTE 8,50,0,1,50
JB07,2 MACACÃO LISO ALCINHA 7,50,0,1,50
WJ07C,2 CONJUNTO LISO 7,50,0,1,50
WJ07,2 CONJUNTO LISO 7,50,0,1,50
HJ15,2 BLUSA LISA OMBRO CAÍDO MANGA CURTA 8,50,0,1,50
ZG23,2 BLUSA LISA ALCINHA COM FIVELA E LAÇO NA FRENTE 8,50,0,1,50
YL147,2 VESTIDO RENDA 8,50,0,1,50
LY25,2 BLUSA CIGANINHA COM LAÇO REGULADOR 7,50,0,1,50
LY23,2 BLUSA LISA CORTE V MANGA CURTA 8,50,0,1,50
SF17,2 BLUSA UM OMBRO SÓ BUFANTE 7,50,0,1,50
ZG24,2 VESTIDO ESTAMPADO OMBRO VAZADO 8,50,0,1,50
ZB27,2 VESTIDO LISO ALCINHA 7,50,0,1,50
HJ14,2 BLUSA LISA CIGANINHA MANGA CURTA 8,50,0,1,50
w11,2 VESTIDO GUIPIR 8,50,0,1,50
ZN135,2 VESTIDO BORDADO 8,50,0,1,50
YH25,1 CALÇA 8,50,0,1,50
ZN521,2 VESTIDO ESTAMPADO ALÇA FINA 8,50,0,1,50
MD317,2 VESTIDO CIGANINHA LISO 8,50,0,1,50
BS06,1 CALÇA 7,50,0,1,50
YL145,2 VESTIDO RENDA 8,50,0,1,50
WJ19,2 BLUSA LISA MANGA BUFANTE 8,50,0,1,50
ZG10,2 MACACÃO LISO ALCINHA 8,50,0,1,50
ML49,2 VESTIDO ESTAMPADO 8,50,0,1,50
YL138,2 VESTIDO BORDADO 8,50,0,1,50
YL38,INVERNO,50,0,1,50
MD300,2 BLUSA LISA OMBRO VAZADO 8,50,0,1,50
XC05,2 MACACÃO LISO CORTE V 7,50,0,1,50
ML247,2 CONJUTO BLUSA E CALÇA LISA  7,50,0,1,50
XC04,2 MACACÃO LISO ALÇA DUPLA 7,50,0,1,50
ZN534,2 VESTIDO ALCINHA 7,50,0,1,50
WJ13,2 MACACÃO LISO ALCINHA 7,50,0,1,50
XY16,2 MACACÃO LISO ALCINHA 7,50,0,1,50
XY17,2 MACACÃO MANGA BUFANTE 7,50,0,1,50
XY30,2 CONJUNYO SAIA E BLUSA LISA 7,50,0,1,50
ML257,2 VESTIDO LISO FRANZIDO NA FRENTE ALCINHA 7,50,0,1,50
WL03,2 MACACÃO LISO ALCINHA 7,50,0,1,50
ML254,2 MACACÃO ESTAMPADO ALÇA FINA 7,50,0,1,50
ML259,2 CONJUNTO ESTAMPADO 7,50,0,1,50
XY36,2 CONJUNYO CALÇA E BLUSA ESTAMPADO 7,50,0,1,50
YR14,2 BLUSA LISA MANGA CURTA 7,50,0,1,50
ZN530,2 BLUSA LISA MANGA CURTA BOTOES PEROLA 7,50,0,1,50
ZN533,2 BLUSA LISA REGATA 7,50,0,1,50
WL14,2 BLUSA LISA CORTE V 8,50,0,1,50
MD294,2 BLUSA LISA OMBRO VAZADO 8,50,0,1,50
MD281,2 BLUSA LISA MANGA CURTA 7,50,0,1,50
YR17,2 BLUSA LISA OMBRO VAZADO 8,50,0,1,50
BS27,2 BLUSA LISA ALÇA DUPLA 8,50,0,1,50
ZG19,2 VESTIDO LISO COM FENDA 8,50,0,1,50
ZN243,2 VESTIDO ESTAMPADO 8,50,0,1,50
ZN85,2 VESTIDO GUIPIR 8,50,0,1,50
lp20,1 BLUSA 8,50,0,1,50
ZN93,2 VESTIDO GUIPIR 8,50,0,1,50
ZN57,2 VESTIDO GUIPIR 8,50,0,1,50
ZN66,2 VESTIDO GUIPIR 8,50,0,1,50
SF24,2 BLUSA CIGANINHA 8,50,0,1,50
CS04,2 CONJUNTO SAIA E BLUSA LISA 7,50,0,1,50
ML35,2 MACACÃO LISO 8,50,0,1,50
SQ99,1 MACACÃO 8,50,0,1,50
YH11,2 SAIA 8,50,0,1,50
ML92,2 MACACÃO 8,50,0,1,50
ML64,2 MACACÃO 8,50,0,1,50
ML173,1 MACACÃO 8,50,0,1,50
ML157,2 MACACÃO 8,50,0,1,50
ML62,2 MACACÃO 8,50,0,1,50
ML86,2 MACACÃO ESTAMPA 8,50,0,1,50
ML55,2 MACACÃO ESTAMPADO 8,50,0,1,50
ML46,2 MACACÃO ESTAMPADO 8,50,0,1,50
ML51,2 MACACÃO ESTAMPADO 8,50,0,1,50
BS02,2 CALÇA 7,50,0,1,50
QJ114,1 CALÇA 7,50,0,1,50
BS07,1 CALÇA LISA 7,50,0,1,50
BS05,1 CALÇA 7,50,0,1,50
ZF12,1 CALÇA 7,50,0,1,50
QJ113,1 CALÇA 7,50,0,1,50
BS01,2 CALÇA 7,50,0,1,50
ZN50,2 VESTIDO BORDADO 8,50,0,1,50
ZN47,2 VESTIDO BORDADO 8,50,0,1,50
ZN39,2 VESTIDO BORDADO 8,50,0,1,50
ZN30,2 VESTIDO BORDADO 8,50,0,1,50
ZN21,2 VESTIDO 8,50,0,1,50
ZN205,2 VESTIDO BORDADO 8,50,0,1,50
ZN203,2 VESTIDO BORDADO 8,50,0,1,50
ZN202,2 VESTIDO BORDADO 8,50,0,1,50
ZN20,2 VESTIDO BORDADO 8,50,0,1,50
ZN07,2 VESTIDO GUIPIR 8,50,0,1,50
ZN02,2 VESTIDO GUIPIR 8,50,0,1,50
YL90,2 VESTIDO BORDADO 8,50,0,1,50
YL79,2 VESTIDO BORDADO 8,50,0,1,50
YL78,2 VESTIDO BORDADO 8,50,0,1,50
YL77,2 VESTIDO BORDADO 8,50,0,1,50
YL76,2 VESTIDO BORDADO 8,50,0,1,50
YL53,2 VESTIDO BORDADO 8,50,0,1,50
YL216,2 VESTIDO BORDADO 8,50,0,1,50
YL210,2 VESTIDO BORDADO 8,50,0,1,50
YL209,2 VESTIDO BORDADO 8,50,0,1,50
YL205,2 VESTIDO BORDADO 8,50,0,1,50
YL203,2 VESTIDO BORDADO 8,50,0,1,50
YL202,2 VESTIDO BORDADO 8,50,0,1,50
YL198,2 VESTIDO BORDADO 8,50,0,1,50
YL196,2 VESTIDO BORDADO 8,50,0,1,50
YL193,2 VESTIDO BORDADO 8,50,0,1,50
YL191,2 VESTIDO BORDADO 8,50,0,1,50
YL190,2 VESTIDO BORDADO 8,50,0,1,50
YL189,2 VESTIDO BORDADO 8,50,0,1,50
YL186,2 VESTIDO BORDADO 8,50,0,1,50
YL185,2 VESTIDO BORDADO 8,50,0,1,50
YL183,2 VESTIDO BORDADO 8,50,0,1,50
YL178,2 VESTIDO BORDADO M/C PLUS 8,50,0,1,50
YL171,2 VESTIDO BORDADO 8,50,0,1,50
YL161,2 VESTIDO BORDADO 8,50,0,1,50
YL160,2 VESTIDO BORDADO 8,50,0,1,50
YL159,2 VESTIDO BORDADO 8,50,0,1,50
YL152,2 VESTIDO BORDADO 8,50,0,1,50
YL126,2 VESTIDO BORDADO 8,50,0,1,50
YL125,2 VESTIDO BORDADO 8,50,0,1,50
YL123,2 VESTIDO BORDADO 8,50,0,1,50
YL105,2 VESTIDO GUIPIR 8,50,0,1,50
M627,2 VESTIDO RENDA 8,50,0,1,50
M606,1 VESTIDO GUIPIR M/C PLUS SIZE 8,50,0,1,50
LP19,2 VESTIDO BORDADO 8,50,0,1,50
LP18,2 VESTIDO BORDADO 8,50,0,1,50
LP15,2 VESTIDO BORDADO 8,50,0,1,50
LP12,2 VESTIDO BORDADO 8,50,0,1,50
LP11,2 VESTIDO BORDADO 8,50,0,1,50
LP10,2 VESTIDO BORDADO 8,50,0,1,50
LP09,2 VESTIDO BORDADO 8,50,0,1,50
LP07,2 VESTIDO BORDADO 8,50,0,1,50
LP06,2 VESTIDO BORDADO 8,50,0,1,50
LP05,2 VESTIDO BORDADO 8,50,0,1,50
ZN185,2 VESTIDO BORDADO 8,50,0,1,50
ZN182,2 VESTIDO BORDADO 8,50,0,1,50
ZN181,2 VESTIDO BORDADO 8,50,0,1,50
ZN18,2 VESTIDO BORDADO 8,50,0,1,50
ZN178,2 VESTIDO BORDADO 8,50,0,1,50
ZN177,2 VESTIDO BORDADO 8,50,0,1,50
